2019-10-16 21:49:42 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu1
2019-10-16 21:49:43 install libblkid1:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:43 status half-installed libblkid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:43 status unpacked libblkid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:43 install libbz2-1.0:amd64 <none> 1.0.6-9.2
2019-10-16 21:49:43 status half-installed libbz2-1.0:amd64 1.0.6-9.2
2019-10-16 21:49:43 status unpacked libbz2-1.0:amd64 1.0.6-9.2
2019-10-16 21:49:43 install libc-bin:amd64 <none> 2.30-0ubuntu2
2019-10-16 21:49:43 status half-installed libc-bin:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 status unpacked libc-bin:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 upgrade libc6:amd64 2.30-0ubuntu2 2.30-0ubuntu2
2019-10-16 21:49:43 status half-configured libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 status unpacked libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 status half-installed libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 status unpacked libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:43 install libcap-ng0:amd64 <none> 0.7.9-2
2019-10-16 21:49:43 status half-installed libcap-ng0:amd64 0.7.9-2
2019-10-16 21:49:43 status unpacked libcap-ng0:amd64 0.7.9-2
2019-10-16 21:49:43 install libcom-err2:amd64 <none> 1.45.3-4ubuntu2
2019-10-16 21:49:43 status half-installed libcom-err2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:43 status unpacked libcom-err2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:43 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:43 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:43 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:43 install libdebconfclient0:amd64 <none> 0.249ubuntu1
2019-10-16 21:49:43 status half-installed libdebconfclient0:amd64 0.249ubuntu1
2019-10-16 21:49:43 status unpacked libdebconfclient0:amd64 0.249ubuntu1
2019-10-16 21:49:44 install libext2fs2:amd64 <none> 1.45.3-4ubuntu2
2019-10-16 21:49:44 status half-installed libext2fs2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:44 status unpacked libext2fs2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:44 install libfdisk1:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:44 status half-installed libfdisk1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 status unpacked libfdisk1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 install libgcc1:amd64 <none> 1:9.2.1-9ubuntu2
2019-10-16 21:49:44 status half-installed libgcc1:amd64 1:9.2.1-9ubuntu2
2019-10-16 21:49:44 status unpacked libgcc1:amd64 1:9.2.1-9ubuntu2
2019-10-16 21:49:44 install libgcrypt20:amd64 <none> 1.8.4-5ubuntu2
2019-10-16 21:49:44 status half-installed libgcrypt20:amd64 1.8.4-5ubuntu2
2019-10-16 21:49:44 status unpacked libgcrypt20:amd64 1.8.4-5ubuntu2
2019-10-16 21:49:44 install libgpg-error0:amd64 <none> 1.36-7
